	word	stress_pos	nr_syll
0	cascade	1	2
1	burrito	2	3
2	cucumber	3	3
3	newspaper	3	3
4	college	2	2
5	constellation	2	4
6	emperor	3	3
7	banana	2	3
8	alligator	4	4
9	engineer	1	3
10	watermelon	4	4
11	lagoon	1	2
12	armchair	2	2
13	ocean	2	2
14	trousers	2	2
15	asparagus	3	4
16	television	4	4
17	stomach	2	2
18	canary	2	3
20	coffee	2	2
21	calculator	4	4
22	container	2	3
23	ambulance	3	3
24	giraffe	1	2
25	potatoe	2	3
27	telescope	3	3
28	astronaut	3	3
29	dictionary	4	4
33	printer	2	2
34	champagne	1	2
35	alarm	1	2
36	oscillation	2	4
40	butterfly	3	3
41	station	2	2
42	rollerblade	3	3
43	brunette	1	2
44	adolescent	2	4
45	helicopter	4	4
46	cauliflower	4	4
48	window	2	2
49	sunset	2	2
50	entrepreneur	1	4
53	trampoline	1	3
55	apple	2	2
56	interruptor	2	4
57	collander	3	3
58	cocoon	1	2
59	marmalade	3	3
61	accordion	3	4
63	octopus	3	3
66	navigation	2	4
67	pajamas	2	3
71	telephone	3	3
72	computer	2	3
73	kangaroo	1	3
74	tangerine	1	3
79	family	3	3
81	photographer	3	4
85	museum	2	3
90	binocular	3	4
91	emergency	3	4
93	caterpillar	4	4
95	rhinoceros	3	4
105	tattoo	1	2
112	referee	1	3
113	gorilla	2	3
117	elephant	3	3
122	dragonfly	3	3
124	anaconda	2	4
126	agenda	2	3
133	kitchen	2	2
134	diploma	2	3
141	tarantula	3	4
150	expiration	2	4
151	information	2	4
164	lemon	2	2
167	bamboo	1	2
170	secretary	4	4
174	compass	2	2
176	eucalyptus	2	4
177	thermometer	3	4
188	obscurity	3	4
199	raccoon	1	2
200	tambourine	1	3
215	umbrella	2	3
216	lemonade	1	3
229	river	2	2
251	baby	2	2
272	embassador	3	4
290	pharmacy	3	3
293	cathedral	2	3
296	shampoo	1	2
